date,open,high,low,close,volume,code
2026-02-13,10625.0,10975.0,9570.0,9625.0,459170,187870
2026-02-19,9820.0,10050.0,9565.0,9885.0,224614,187870
2026-02-20,9755.0,9795.0,9560.0,9610.0,170150,187870
2026-02-23,9660.0,9915.0,9315.0,9480.0,187526,187870
2026-02-24,9470.0,9950.0,9275.0,9850.0,133014,187870
2026-02-25,9935.0,10300.0,9760.0,9950.0,136472,187870
2026-02-26,9950.0,10150.0,9785.0,9985.0,117972,187870
2026-02-27,9975.0,9975.0,9350.0,9680.0,91218,187870
2026-03-03,9520.0,9820.0,9120.0,9185.0,105374,187870
2026-03-04,8800.0,8940.0,7895.0,8210.0,258306,187870
2026-03-05,8780.0,9155.0,8535.0,9145.0,112198,187870
2026-03-06,8785.0,9435.0,8785.0,9390.0,93068,187870
2026-03-09,8800.0,8940.0,8295.0,8455.0,103336,187870
2026-03-10,8910.0,9570.0,8700.0,9170.0,191194,187870
2026-03-11,9275.0,9440.0,9045.0,9180.0,65536,187870
2026-03-12,9150.0,9755.0,9050.0,9150.0,38106,187870
2026-03-13,9000.0,9105.0,8715.0,8875.0,36132,187870
2026-03-16,8875.0,9020.0,8665.0,8760.0,54014,187870
2026-03-17,8760.0,9300.0,8760.0,9225.0,84670,187870
2026-03-18,9275.0,9785.0,9275.0,9785.0,117486,187870
2026-03-19,9695.0,10450.0,9435.0,10350.0,154880,187870
2026-03-20,10350.0,10750.0,9920.0,10325.0,178502,187870
2026-03-23,9975.0,11175.0,9815.0,10850.0,362940,187870
2026-03-24,10900.0,11100.0,9825.0,10300.0,191482,187870
2026-03-25,10775.0,11425.0,10350.0,11000.0,329440,187870
2026-03-26,10875.0,12425.0,10600.0,11450.0,449690,187870
2026-03-27,11300.0,12200.0,10950.0,12000.0,255076,187870
2026-03-30,11600.0,11675.0,10800.0,10950.0,164534,187870
2026-03-31,10875.0,10875.0,10025.0,10500.0,149930,187870
2026-04-01,10850.0,11300.0,10700.0,11125.0,153952,187870
2026-04-02,11125.0,11125.0,10050.0,10100.0,115038,187870
