stock_code,prev_close
025890,1944.0
357430,675.0
015020,928.0
001685,14400.0
00499K,24300.0
044380,1437.0
008600,2620.0
009440,756.0
001420,2270.0
005257,20450.0
00781K,21850.0
011090,1380.0
002070,6900.0
108675,15820.0
001770,13290.0
005725,4300.0
45226K,5310.0
18064K,28500.0
000087,12820.0
00806K,11950.0
019685,724.0
001795,2095.0
004105,3650.0
084695,12880.0
001755,23500.0
38380K,7810.0
145995,30950.0
004255,2040.0
012205,8950.0
001515,5100.0
001067,45500.0
003075,13510.0
145210,224.0
33637L,2400.0
000225,3705.0
204210,971.0
004985,10240.0
004835,5190.0
001065,21500.0
000325,27450.0
26490K,8060.0
009415,8360.0
090355,11010.0
008500,752.0
000545,6080.0
000145,9400.0
014825,14290.0
005965,16200.0
014285,6150.0
005745,5910.0
36328K,3020.0
000227,10520.0
007575,7640.0
001527,7100.0
002995,11480.0
004545,8790.0
008355,10040.0
001525,4190.0
014915,4470.0
002785,3000.0
002787,8020.0
011155,9520.0
004415,7200.0
196170,347000.0
247540,164300.0
086520,108800.0
036930,245500.0
277810,605000.0
950160,103000.0
058470,99800.0
240810,141000.0
039030,504000.0
028300,47400.0
000250,263000.0
087010,237500.0
298380,93100.0
141080,134800.0
222800,133300.0
440110,99300.0
178320,74500.0
403870,55000.0
319400,40800.0
214370,82000.0
319660,149800.0
108490,286500.0
347850,94400.0
095340,190500.0
084370,178300.0
310210,207000.0
080220,97000.0
095610,170600.0
067310,47950.0
043260,45550.0
214150,46850.0
064760,277500.0
214450,288500.0
145020,245500.0
131290,260000.0
131970,152200.0
031980,133900.0
005290,55400.0
357780,355000.0
010170,17070.0
263750,41050.0
237690,123200.0
226950,124300.0
098460,34200.0
100790,42100.0
030530,28550.0
257720,35400.0
032820,13520.0
089030,61100.0
290650,84400.0
089970,85100.0
082920,45800.0
007390,32200.0
041510,88800.0
058610,91400.0
347700,38500.0
218410,74900.0
035900,54900.0
083650,62000.0
140410,62500.0
068760,42850.0
140860,264000.0
0009K0,27200.0
078600,117100.0
437730,52400.0
420770,147600.0
475830,71100.0
323280,51900.0
039200,40600.0
031330,15090.0
060370,29050.0
183300,139200.0
096530,28150.0
090710,11540.0
166090,67800.0
295310,109900.0
101490,63000.0
476830,92800.0
038500,11690.0
099320,113700.0
232140,14950.0
195940,41750.0
328130,16120.0
445680,69400.0
003380,10270.0
127120,32850.0
036540,6910.0
458870,29250.0
083450,60000.0
124500,43400.0
032500,26500.0
189300,104000.0
388210,111300.0
065350,40250.0
417200,16310.0
085660,11740.0
027360,8850.0
090360,106300.0
397030,43100.0
356860,106100.0
281740,15700.0
491000,40600.0
115180,26950.0
388720,83400.0
074600,36200.0
137400,39850.0
161580,41100.0
490470,26950.0
204270,16280.0
213420,37050.0
466100,36050.0
036830,43750.0
056190,25000.0
252990,14420.0
358570,13820.0
048410,9080.0
086450,18940.0
035760,38100.0
122870,44500.0
160190,25900.0
033100,50800.0
376900,50500.0
033790,9570.0
222080,10300.0
171090,77800.0
348370,34900.0
094170,37050.0
053610,84500.0
006730,11740.0
293490,8710.0
456160,46200.0
050890,12420.0
052020,11260.0
241710,70400.0
059090,22150.0
126340,103900.0
046890,13200.0
033640,31550.0
052400,49850.0
253450,24800.0
476060,15880.0
014620,27900.0
056080,18980.0
425420,57300.0
036810,31600.0
032190,18640.0
033160,28000.0
037460,41400.0
023160,26100.0
121600,55500.0
102710,46450.0
439960,19990.0
077360,14360.0
102940,49200.0
336570,7430.0
089890,37750.0
044490,31450.0
365340,51100.0
041830,46200.0
170920,57800.0
053800,56900.0
041960,8370.0
225570,9520.0
348210,58500.0
174900,29700.0
486990,27250.0
389470,44400.0
086900,83200.0
399720,50200.0
060250,14530.0
009520,14130.0
122640,27550.0
348340,45850.0
112040,17890.0
330860,47000.0
253590,13130.0
082270,12910.0
045100,31400.0
064290,44000.0
093320,114400.0
376300,23600.0
383310,27150.0
272290,27950.0
327260,65000.0
104830,43600.0
214430,73200.0
033500,18150.0
035890,2315.0
019210,14260.0
067160,45500.0
015750,6610.0
278280,42850.0
475960,38500.0
200710,37400.0
168360,23150.0
368770,15190.0
230360,16000.0
089010,29300.0
340570,59200.0
125490,12690.0
099190,16590.0
219130,74500.0
030520,19890.0
160980,43550.0
211050,9830.0
039440,29900.0
356680,16270.0
024850,13950.0
448900,77500.0
034950,100100.0
460930,13310.0
042000,19370.0
036620,5030.0
110990,23250.0
114810,15400.0
025980,4565.0
372320,28600.0
200470,10170.0
041190,5240.0
251970,35050.0
393890,12600.0
018290,12350.0
290550,21450.0
092190,9320.0
060280,10570.0
452280,22600.0
101160,25700.0
095660,19730.0
078350,26900.0
078160,10450.0
079940,31000.0
241770,39950.0
085910,29600.0
078130,3560.0
101930,8730.0
493280,26900.0
025320,4430.0
215200,38900.0
006910,7940.0
199800,44200.0
080580,18470.0
013030,33150.0
052710,27650.0
0011T0,8340.0
424870,4175.0
064260,5020.0
138080,30600.0
025900,7680.0
107640,41950.0
042520,25750.0
067630,2990.0
332570,7810.0
389500,55700.0
065680,39700.0
003800,32700.0
304360,29800.0
354320,56800.0
468530,33150.0
144960,8330.0
425040,16970.0
092870,27650.0
047920,10710.0
287840,23850.0
243070,29550.0
119850,21250.0
187660,6340.0
117730,15710.0
394280,13400.0
265520,23250.0
254490,24300.0
078020,6290.0
215600,2525.0
069540,3325.0
477850,20100.0
079370,11550.0
417840,15190.0
482630,15450.0
179900,17120.0
187870,24300.0
389650,40600.0
206650,9140.0
098070,30200.0
455900,21950.0
084110,26600.0
204620,4745.0
036200,10820.0
069080,10660.0
484590,7900.0
230240,24500.0
036890,15050.0
086390,15100.0
092460,18410.0
488900,11290.0
234340,22950.0
456010,22600.0
462350,15050.0
049070,18200.0
091700,6290.0
317330,15500.0
376270,42450.0
136480,2875.0
064820,9940.0
200670,27600.0
441270,7260.0
228760,12270.0
314930,10230.0
452430,36300.0
078340,25250.0
274090,21100.0
445090,27050.0
203650,2925.0
094360,13740.0
236200,42000.0
241520,10980.0
036800,28700.0
042370,10870.0
272110,35650.0
043150,19080.0
089980,17780.0
025770,7490.0
475400,24450.0
099430,4540.0
061970,4820.0
051500,23600.0
450950,7400.0
064850,24150.0
035810,4280.0
101730,3365.0
378340,12750.0
352480,20100.0
035600,9940.0
309710,21000.0
112290,13300.0
092730,16850.0
298830,5020.0
046970,6100.0
200130,9390.0
182400,3670.0
194700,14710.0
242040,7440.0
078150,2860.0
054950,22000.0
322310,28200.0
036170,4265.0
144510,16690.0
419530,26000.0
023410,3390.0
472850,4470.0
215000,43250.0
220100,11600.0
151860,5680.0
0082N0,19550.0
388790,8790.0
900290,3185.0
355150,33400.0
180400,2640.0
365270,11850.0
036710,4975.0
051360,17500.0
073490,33850.0
314130,5630.0
121800,3320.0
